kepid,kepoi_name,planet_name,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,P_STATUS,P_MASS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_INCLINATION,P_OMEGA,P_TPERI,P_ANGULAR_DISTANCE,star_name,S_RA,S_DEC,S_MAG,S_DISTANCE,S_METALLICITY,S_MASS,S_RADIUS,S_TYPE,S_AGE,S_TEMPERATURE,S_LOG_G,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TYPE,S_RADIUS_EST,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_HABITABLE,P_ESI,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST
7289139,K05380.01,,369.93355,175.282,0.149,7.6,995.0,3.24,270.0,1.25,15.8,6158.0,4.453,1.024,293.96146,42.806419,15.524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7345136,K05381.01,,28.7369766,153.842,0.1108,1.586,525.0,1.95,550.0,21.64,5.5,5722.0,4.547,0.854,285.40469,42.907589,15.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7352727,K05382.01,,2.45649061,133.21452,0.167,2.844,287.8,14.14,3440.0,33039.62,21.0,4870.0,2.486,8.531,288.57425,42.913288,10.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7375100,K05383.01,,98.51783198,173.7083904,,1.65,,,,,,,,,295.34177,42.9958,14.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8308639,K05503.01,,457.513348,138.6556,0.9613,5.763,562.5,25.18,512.0,16.21,3.9,5047.0,2.966,7.821,294.98322,44.217911,13.853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8313697,K05504.01,,224.02589924,335.8214821,,2.93,,,,,,,,,296.55786,44.2831,15.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8351919,K05505.01,,323.77153,191.0744,0.083,17.57,353.7,1.44,216.0,0.52,10.6,5196.0,4.586,0.784,285.75095,44.356979,14.458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8352009,K05506.01,,641.60204,170.8404,0.3218,16.762,237.3,1.61,230.0,0.66,10.6,6277.0,4.449,1.031,285.79572,44.35051,14.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8352016,K05507.01,,40.0389613,156.35794,0.3619,1.711,109.4,0.95,517.0,16.85,5.7,5701.0,4.437,0.903,285.79947,44.34819,13.699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8364969,K05508.01,,22.571972634,145.0344991,1.056,4.00349,79326.0,46.14,617.0,34.24,1040.1,5645.0,4.431,0.871,291.59738,44.398521,15.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8378278,K05509.01,,28.406342,133.0507,0.2208,2.598,223.6,1.41,613.0,33.44,5.4,6085.0,4.474,0.936,296.18494,44.342991,15.423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8380743,K05510.01,,1.018861199,132.07252,0.358,6.5005,291210.0,93.47,2505.0,9299.2,911.3,6225.0,4.009,1.672,296.90295,44.351231,14.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9159461,K05630.01,,80.519237,164.0077,0.102,4.044,92.5,1.08,476.0,12.11,7.2,6251.0,4.378,1.119,293.75519,45.500839,12.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9164003,K05631.01,,149.356804,278.1387,0.1627,15.415,171.6,2.92,560.0,23.18,14.0,6569.0,3.842,2.203,295.4079,45.535233,13.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9166700,K05632.01,,264.466625,134.96749,0.129,6.371,437.3,2.61,346.0,3.41,27.0,6551.0,4.337,1.236,296.33813,45.545109,11.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9173014,K05633.01,,151.77884,204.5209,0.159,2.615,189.7,4.35,616.0,34.01,8.2,6328.0,3.634,3.134,298.11365,45.563419,11.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9178502,K05634.01,,50.47759052,141.7787075,,2.02,,,,,,,,,299.63815,45.58778,12.909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9178894,K05635.01,,113.993156,171.1834,0.7026,7.721,69.7,2.23,729.0,66.64,15.6,7892.0,3.921,2.496,299.74387,45.586361,11.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9180282,K05636.01,,2.79123954,131.94858,0.709,2.843,154.8,2.22,1771.0,2322.96,25.3,6407.0,4.111,1.668,300.11902,45.510349,13.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9181402,K05637.01,,223.31769215,233.6828323,,3.54,,,,,,,,,300.41495,45.574299,13.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10023469,K05757.01,,44.637111,157.2998,0.029,5.868,282.5,1.28,432.0,8.22,9.4,5222.0,4.518,0.78,296.36893,46.957821,15.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10027861,K05758.01,,102.493119,166.0094,0.9591,2.814,636.1,2.7,317.0,2.37,8.3,5166.0,4.583,0.791,297.66437,46.94482,15.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10064591,K05759.01,,284.94212784,359.5238684,,3.2,,,,,,,,,287.09412,47.075359,13.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10074700,K05760.01,,365.620697,238.984,0.4173,32.263,27188.0,12.75,215.0,0.5,671.1,5273.0,4.531,0.768,291.62619,47.08123,14.622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10083325,K05761.01,,6.13292733,131.9926,0.225,1.561,58.7,1.56,1379.0,854.43,10.0,5877.0,3.941,2.034,294.9733,47.015369,13.421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10090854,K05762.01,,12.63063129,136.70398,0.017,2.212,300.8,1.37,689.0,53.17,9.5,5579.0,4.58,0.798,297.39322,47.011459,15.633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10096697,K05763.01,,191.272501,293.2441,0.504,3.064,286.5,1.59,310.0,2.18,5.8,5727.0,4.43,0.918,299.02518,47.079071,13.955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10098540,K05764.01,,286.02266,373.7304,0.3591,10.43,1036.0,2.03,180.0,0.25,9.8,4368.0,4.624,0.637,299.58463,47.000771,15.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7377343,K05384.01,,7.95445779,135.48462,0.021,4.6012,6269.4,9.5,1064.0,303.36,228.4,6217.0,4.306,1.196,295.90891,42.988209,14.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
